1.jpg	- The certificate is from the Central Board of Film Certification of the Government of India.
- It certifies the film "DAJARO MASTANI" with a rating of "31 U" and a duration of 150 minutes.
- The certificate is valid for theatrical release only.
- The examining committee members are listed on the certificate.
- The applicant is Bhansali Productions, Mumbai, and the producer is Bhansali Productions India.
- The certificate is dated November 12, 2015.
- The certificate number is DIL/1/19582/2015-MUM.
- The producer's name is Bhanjali Productions India.
- The chairman's signature is visible at the bottom right corner.
2650.jpg	_ A muscular, shirtless man stands in a dimly lit, ancient-looking room with tall columns and a warm, golden hue. He holds a small object in his right hand, and his left is positioned as if he is about to perform an action. The room is sparsely decorated, with a table and some scattered objects in the background, creating a sense of mystery and anticipation. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object. The background features a table and scattered objects, contributing to the mysterious atmosphere. The man is shirtless, which is consistent with the descriptions in the other captions. The room's ancient and ornate setting, with imposing pillars and warm candlelight, adds to the sense of grandeur and luxury. The man exudes strength and power, as indicated by his muscular physique and the way he holds the object sequential sequential sequential sequential sequential sequential sequential sequential sequential sequential sequential sequential switches switchesenc switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switches switchesswitchswitchswitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitchwitch
283.jpg	_The scene features a bald man wearing a white shirt and a white outfit, standing in a dimly lit environment with a soft light source behind him, creating a halo effect. The background is blurred with circular bokeh lights, suggesting a festive or ceremonial setting. He is dressed in a white, mandarin collar shirt and stands against a backdrop of lights and shadows, with the lights and shadows framing him on all sides. The background appears to be a large, round structure adorned with lights, adding to the dramatic ambiance of the scene._
2880.jpg	- A woman in a white dress is standing in a doorway, looking down at something on the floor.
- A person dressed in a flowing white garment is kneeling and working with a large, ornate object in a richly decorated room with intricate patterns and warm lighting.
3163.jpg	- A woman, likely a queen or noblewoman, is seated on a throne in a lavishly decorated room.
- The room features intricate carvings, ornate glass panels, and gold accents.
- The ambiance is illuminated by numerous chandeliers and candles, casting a warm, golden glow.
- The woman is dressed in traditional, ornate attire, possibly a blue dress and a turban.
- The setting is grand and ceremonial, with several individuals in similar attire engaged in conversation or activity.
3337.jpg	- A group of women are dancing in a large, opulent room with a high ceiling and ornate decorations.
- The room is filled with people dressed in elaborate, glittering costumes, with the central figure being a woman in a flowing, golden gown with intricate designs.
- The dancers are engaged in a graceful and energetic dance, moving with arms extended and bodies arched.
- The setting is a grand, opulent hall with intricate architectural details, including columns and ornate decorations.
- The background features warm, golden lighting that enhances the luxurious ambiance.
3541.jpg	_The scene features a man dressed in traditional Indian attire, including a turban and a long, sitting on a throne in a richly decorated room. The background features ornate wall designs and a large circular window, allowing soft, natural light to illuminate the space. The man's posture is confident and commanding, with one hand resting on his knee and the other holding on his chest. The setting suggests a historical or royal context, possibly a palace or a significant ceremonial space. The man wears a harmonious blend of cream and maroon, complemented by a crown adorned with intricate white and red elements, underscoring his noble status. He holds a golden object, adding to his majestic appearance. A window with an ornate curtain hints at the opulence of the room, while a decorative piece on the table behind him suggests a touch of cultural significance, contributing to the rich and storied atmosphere of the scene._
3773.jpg	- A woman in a white, floor-length dress and gold jewelry is seen placing a red cloth over a red and gold patterned surface.
- The background is dark with several small, glowing lights creating a bokeh effect.
- The woman holds a red bag or purse on a vibrant red rug with a gold pattern.
- The room is dimly lit with small lights on the wall, creating a warm ambiance.
- The image focuses on the woman and her bag, with the room's details blurred.
3973.jpg	- A woman is dressed in dark, flowing attire.
- The woman is standing in a dimly lit, rustic setting with stone walls and a wooden structure.
- The woman is wearing a black veil that covers her head and shoulders.
- The lighting is subdued, casting shadows that add to the somber and reflective mood.
- The woman's expression is serious and contemplative, with her gaze directed slightly downward.
- The atmosphere is somber and dramatic, with the woman's posture and attire evoking a sense of quiet resolve.
4203.jpg	- An old man is sitting on a throne.
- A man with a long beard and a crown is sitting on a throne, wearing a red robe and a crown, in a room with a chandelier and a mirror on the wall.
- A man dressed in ornate, richly embroidered red and gold robes sits regally on a throne, in a grand, opulent room with dark-patterned wallpaper and a chandelier with multiple lit candles, suggesting a royal or noble chamber.
4373.jpg	- A group of people, dressed in white and red clothing, are dancing in a tent.
- The tent is decorated with a chandelier and features wooden beams and draped fabric.
- The dancers are performing a synchronized routine in a large, dimly lit tent.
- The central figure, dressed in white, stands out with precise, energetic movements.
- The setting has a warm, atmospheric, and historical ambiance.
- The scene likely takes place in a festive and celebratory atmosphere, possibly a royal gathering or event.
4492.jpg	- A group of men dressed in traditional attire, including red turbans-like head coverings, are engaged in a synchronized movement or dance.
- The individuals are wearing long white pants and dark tops.
- They are positioned in a large, dimly lit hall with wooden beams and a central structure resembling a chandelier or decorative element.
- The atmosphere is dynamic and energetic, suggesting a historical or cultural setting.
4667.jpg	- A woman in a purple and gold outfit, adorned with a headpiece and jewelry, is being held by a man in a pink outfit, who is holding her by the face. They are surrounded by white flowers.
- A woman in traditional attire, including a headpiece and a richly decorated veil, is seen with her eyes closed, possibly in a moment of prayer or meditation, surrounded by water splashing around her. The background is blurred, focusing attention on her and the water.
- Two individuals stand before a majestic palace, surrounded by ornate mirrors, reflecting their opulent attire and festive ambiance. The woman wears a purple head covering, gold accessories, and traditional attire, while the man wears a white, red, and pink outfit, topped with a turban adorned with white tassels. The mirrors add a touch of magic, creating a sense of wonder and celebration.
485.jpg	-located in a dimly lit room with a chandelier in the background
-wearing traditional Indian clothing, specifically a red and green saree adorned with elaborate jewelry, including a nose ring, earrings, and a necklace
-central figure surrounded by four other women, all dressed in traditional attire
-woman's attire features an orange and green sari, gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-background features a chandelier and warm-toned lighting, creating an atmosphere of elegance and formality
-woman's hair styled in a neat bun, adding to her regal presence
-ornate attire and jewelry, with intricate patterns and designs
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
-ornate attire and jewelry, with gold earrings, a gold bindi, a long nose ring, and a long neck chain with gold necklaces and multiple strands of beads
